Time,Beta AA,Beta AE,Beta AY,Beta EA,Beta EE,Beta EY,Beta YA,Beta YE,Beta YY,CE AA,CE AE,CE AY,CE EA,CE EE,CE EY,CE YA,CE YE,CE YY,DA,DE,DY,Infected A,Infected E,Infected Y,IR A,IR E,IR Y,Lambda A,Lambda E,Lambda Y,Pop A,Pop E,Pop Y,Prop A Infected,Prop E Infected,Prop Y Infected,Recovered A,Recovered E,Recovered Y,RR A,RR E,RR Y,Susceptible A,Susceptible E,Susceptible Y,Total Population
0,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0,0,1,0,1,3,0,4.00E-05,0.00012,"50,000","25,000","25,000",0,0,0,0,0,0,0,0,0.5,"50,000","25,000","25,000","100,000"
0.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0,0.125,1.312,0.125,1.375,4.062,2.50E-06,5.50E-05,0.00016,"50,000","25,000","25,000",0,0,0.00025,0,0,0.0625,0,0.0625,0.6562,"50,000","25,000","25,000","100,000"
0.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0.01562,0.2891,1.738,0.3203,1.898,5.535,6.40E-06,7.60E-05,0.00022,"50,000","25,000","25,000",0,3.10E-05,0.00057,0,0.00781,0.1445,0.00781,0.1445,0.8691,"50,000","25,000","25,000","100,000"
0.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0.05469,0.5083,2.321,0.6177,2.63,7.581,1.20E-05,0.0001,0.0003,"50,000","25,000","25,000",2.00E-06,0.0001,0.00101,0.00097,0.02588,0.2532,0.02734,0.2541,1.161,"50,000","25,000","25,000","100,000"
0.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0.1285,0.8053,3.124,1.062,3.655,10.43,2.10E-05,0.00014,0.00041,"50,000","25,000","25,000",8.80E-06,0.00023,0.00159,0.00439,0.05765,0.3983,0.06424,0.4026,1.562,"50,000","25,000","25,000","100,000"
0.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0.2532,1.212,4.233,1.718,5.092,14.41,3.40E-05,0.0002,0.00057,"50,000","25,000","25,000",2.50E-05,0.00043,0.00237,0.01242,0.108,0.5935,0.1266,0.6059,2.116,"50,000","25,000","25,000","100,000"
0.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0.4522,1.773,5.77,2.677,7.108,19.98,5.40E-05,0.00028,0.00079,"50,000","25,000","25,000",5.70E-05,0.00073,0.00343,0.02825,0.1837,0.8581,0.2261,0.8863,2.885,"50,000","25,000","24,990","100,000"
0.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0.7585,2.55,7.907,4.067,9.94,27.78,8.10E-05,0.00039,0.00111,"50,000","25,000","25,000",0.00011,0.00117,0.00487,0.05651,0.2945,1.219,0.3793,1.275,3.954,"50,000","25,000","24,990","100,000"
1,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,1.22,3.633,10.89,6.072,13.92,38.71,0.00012,0.00055,0.00154,"50,000","25,000","25,000",0.0002,0.00181,0.00685,0.1039,0.4539,1.713,0.6098,1.817,5.443,"50,000","25,000","24,990","100,000"
1.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,1.902,5.146,15.04,8.95,19.51,54.04,0.00017,0.00078,0.00216,"50,000","25,000","25,000",0.00036,0.00272,0.00957,0.1801,0.681,2.393,0.9512,2.573,7.522,"50,000","24,990","24,980","100,000"
1.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,2.902,7.264,20.86,13.07,27.38,75.57,0.00026,0.00109,0.00302,"50,000","25,000","25,000",0.00059,0.00401,0.01333,0.299,1.003,3.333,1.451,3.632,10.43,"50,000","24,990","24,980","100,000"
1.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,4.354,10.23,29,18.94,38.45,105.8,0.00037,0.00153,0.00423,"50,000","25,000","25,000",0.00096,0.00582,0.01855,0.4804,1.457,4.637,2.177,5.116,14.5,"50,000","24,990","24,970","100,000"
1.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,6.45,14.4,40.41,27.3,54.03,148.3,0.00054,0.00216,0.00594,"50,000","25,000","25,000",0.0015,0.00838,0.0258,0.7526,2.096,6.45,3.225,7.2,20.21,"49,990","24,980","24,950","100,000"
1.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,9.458,20.25,56.42,39.16,75.94,207.9,0.00078,0.00304,0.00833,"50,000","25,000","25,000",0.00231,0.01198,0.0359,1.156,2.996,8.976,4.729,10.13,28.21,"49,990","24,980","24,930","100,000"
1.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,13.76,28.48,78.88,55.99,106.7,291.6,0.00112,0.00427,0.01171,"50,000","25,000","25,000",0.00349,0.01705,0.05001,1.747,4.262,12.5,6.881,14.24,39.44,"49,980","24,970","24,910","100,000"
1.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,19.9,40.04,110.4,79.81,150,408.9,0.00159,0.00601,0.01644,"50,000","25,000","25,000",0.00521,0.02417,0.06973,2.607,6.042,17.43,9.95,20.02,55.2,"49,980","24,950","24,870","100,000"
2,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,28.63,56.3,154.6,113.5,210.8,573.3,0.00227,0.00845,0.0231,"50,000","25,000","25,000",0.0077,0.03418,0.09733,3.851,8.545,24.33,14.32,28.15,77.31,"49,970","24,940","24,820","100,000"
2.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,41.03,79.13,216.6,161,296.1,802.9,0.00322,0.01189,0.03244,"50,000","25,000","25,000",0.01128,0.04825,0.136,5.64,12.06,34,20.51,39.57,108.3,"49,950","24,910","24,750","100,000"
2.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,58.6,111.2,303.4,228.1,415.5,1123,0.00456,0.01671,0.04555,"50,000","25,000","25,000",0.01641,0.06804,0.1901,8.205,17.01,47.53,29.3,55.6,151.7,"49,930","24,870","24,650","100,000"
2.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,83.44,156.2,424.8,322.5,582.1,1566,0.00646,0.02345,0.0639,"50,000","25,000","25,000",0.02373,0.09584,0.266,11.87,23.96,66.5,41.72,78.09,212.4,"49,900","24,820","24,510","100,000"
2.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,118.5,219.2,594,455,813.8,2177,0.00912,0.03289,0.08953,"50,000","25,000","25,000",0.03416,0.1349,0.3722,17.08,33.72,93.05,59.27,109.6,297,"49,860","24,750","24,310","100,000"
2.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,168,307.2,829,640.8,1134,3010,0.01286,0.04602,0.1252,"50,000","25,000","25,000",0.04898,0.1897,0.5207,24.49,47.42,130.2,84,153.6,414.5,"49,810","24,650","24,040","100,000"
