Simulation	R0	VF	T1 Infected	T2 Infected	T3 Infected	T4 Infected	T5 Infected	T6 Infected	T7 Infected	T8 Infected	T9 Infected	T10 Infected	T11 Infected	T12 Infected	T13 Infected	T14 Infected	T15 Infected	T16 Infected	T17 Infected	T18 Infected	T19 Infected	T20 Infected	T21 Infected	T22 Infected	T23 Infected	T24 Infected	T25 Infected	T26 Infected	T27 Infected	T28 Infected	T29 Infected	T30 Infected	T31 Infected	T32 Infected	T33 Infected	T34 Infected	T35 Infected	T36 Infected	T37 Infected	T38 Infected	T39 Infected	T40 Infected	T41 Infected	T42 Infected	T43 Infected	T44 Infected	T45 Infected	T46 Infected	T47 Infected	T48 Infected	T49 Infected	T50 Infected	T51 Infected	T52 Infected	T53 Infected	T54 Infected	T55 Infected	T56 Infected	T57 Infected	T58 Infected	T59 Infected	T60 Infected	T61 Infected	T62 Infected	T63 Infected	T64 Infected	T65 Infected	T66 Infected	T67 Infected	T68 Infected	T69 Infected	T70 Infected	T71 Infected	T72 Infected	T73 Infected	T74 Infected	T75 Infected	T76 Infected	T77 Infected	T78 Infected	T79 Infected	T80 Infected	T81 Infected	T82 Infected	T83 Infected	T84 Infected	T85 Infected	T86 Infected	T87 Infected	T88 Infected	T89 Infected	T90 Infected	T91 Infected	T92 Infected	T93 Infected	T94 Infected	T95 Infected	T96 Infected	T97 Infected	T98 Infected	T99 Infected	T100 Infected	T101 Infected	T102 Infected	T103 Infected	T104 Infected	T105 Infected	T106 Infected	T107 Infected	T108 Infected	T109 Infected	T110 Infected	T111 Infected	T112 Infected	T113 Infected	T114 Infected	T115 Infected	T116 Infected	T117 Infected	T118 Infected	T119 Infected	T120 Infected	T121 Infected	T122 Infected	T123 Infected	T124 Infected	T125 Infected	T126 Infected	T127 Infected	T128 Infected	T129 Infected	T130 Infected	T131 Infected	T132 Infected	T133 Infected	T134 Infected	T135 Infected	T136 Infected	T137 Infected	T138 Infected	T139 Infected	T140 Infected	T141 Infected	T142 Infected	T143 Infected	T144 Infected	T145 Infected	T146 Infected	T147 Infected	T148 Infected	T149 Infected	T150 Infected	T151 Infected	T152 Infected	T153 Infected	T154 Infected	T155 Infected	T156 Infected	T157 Infected	T158 Infected	T159 Infected	T160 Infected	T161 Infected	T162 Infected	T163 Infected	T164 Infected	T165 Infected	T166 Infected	T167 Infected	T168 Infected	T169 Infected	T170 Infected	T171 Infected	T172 Infected	T173 Infected	T174 Infected	T175 Infected	T176 Infected	T177 Infected	T178 Infected	T179 Infected	T180 Infected	T181 Infected	T182 Infected	T183 Infected	T184 Infected	T185 Infected	T186 Infected	T187 Infected	T188 Infected	T189 Infected	T190 Infected	T191 Infected	T192 Infected	T193 Infected	T194 Infected	T195 Infected	T196 Infected	T197 Infected	T198 Infected	T199 Infected	T200 Infected	T201 Infected	T202 Infected	T203 Infected	T204 Infected	T205 Infected	T206 Infected	T207 Infected	T208 Infected	T209 Infected	T210 Infected	T211 Infected	T212 Infected	T213 Infected	T214 Infected	T215 Infected	T216 Infected	T217 Infected	T218 Infected	T219 Infected	T220 Infected	T221 Infected	T222 Infected	T223 Infected	T224 Infected	T225 Infected	T226 Infected	T227 Infected	T228 Infected	T229 Infected	T230 Infected	T231 Infected	T232 Infected	T233 Infected	T234 Infected	T235 Infected	T236 Infected	T237 Infected	T238 Infected	T239 Infected	T240 Infected	T241 Infected
1	2.75726	0.0263399	1	1.10981	1.23105	1.36483	1.51237	1.67501	1.8542	2.05151	2.26866	2.50753	2.77015	3.05872	3.37566	3.72356	4.10525	4.52379	4.9825	5.48497	6.03509	6.63705	7.2954	8.01503	8.80123	9.6597	10.5966	11.6185	12.7325	13.9464	15.2682	16.7067	18.2716	19.9728	21.8211	23.8282	26.0065	28.369	30.9299	33.704	36.7074	39.9568	43.4703	47.2666	51.3658	55.7891	60.5586	65.6977	71.231	77.1841	83.5838	90.4578	97.8353	105.746	114.221	123.292	132.991	143.351	154.407	166.19	178.735	192.076	206.244	221.272	237.19	254.027	271.808	290.558	310.297	331.04	352.8	375.584	399.391	424.217	450.048	476.862	504.632	533.317	562.869	593.231	624.333	656.096	688.429	721.233	754.395	787.796	821.305	854.784	888.088	921.066	953.562	985.417	1016.47	1046.57	1075.55	1103.26	1129.57	1154.32	1177.4	1198.69	1218.09	1235.51	1250.87	1264.11	1275.21	1284.11	1290.83	1295.36	1297.72	1297.95	1296.09	1292.21	1286.36	1278.63	1269.12	1257.9	1245.08	1230.77	1215.07	1198.09	1179.93	1160.72	1140.55	1119.53	1097.76	1075.36	1052.4	1028.99	1005.21	981.151	956.886	932.491	908.035	883.583	859.194	834.923	810.82	786.931	763.297	739.955	716.938	694.276	671.995	650.118	628.662	607.647	587.084	566.985	547.36	528.214	509.553	491.38	473.696	456.501	439.792	423.568	407.825	392.558	377.76	363.426	349.548	336.12	323.131	310.575	298.441	286.721	275.405	264.483	253.946	243.784	233.986	224.543	215.445	206.681	198.242	190.119	182.3	174.778	167.542	160.584	153.893	147.462	141.282	135.343	129.639	124.16	118.898	113.847	108.998	104.344	99.8784	95.5937	91.4835	87.5411	83.7603	80.1351	76.6595	73.3278	70.1344	67.074	64.1415	61.3319	58.6403	56.062	53.5926	51.2278	48.9634	46.7953	44.7198	42.7329	40.8312	39.0111	37.2694	35.6028	34.0082	32.4828	31.0235	29.6276	28.2926	27.0159	25.795	24.6276	23.5114	22.4444	21.4243	20.4493	19.5173	18.6266	17.7755	16.9621	16.185	15.4425	14.7331	14.0554	13.4081	12.7898	12.1993	11.6354	11.0969	10.5826	10.0916	9.62284	9.1753
2	2.66085	0.0738898	1	1.10379	1.21665	1.33919	1.47206	1.6159	1.7714	1.93926	2.1202	2.31496	2.5243	2.74899	2.98981	3.24757	3.52306	3.81711	4.13051	4.46409	4.81866	5.19503	5.59398	6.01632	6.46279	6.93414	7.4311	7.95435	8.50455	9.08231	9.68822	10.3228	10.9865	11.6798	12.403	13.1565	13.9404	14.7549	15.6002	16.4761	17.3826	18.3196	19.2868	20.2839	21.3103	22.3657	23.4492	24.5603	25.698	26.8614	28.0496	29.2613	30.4953	31.7504	33.025	34.3177	35.6269	36.9509	38.2878	39.636	40.9933	42.3579	43.7277	45.1005	46.4743	47.8467	49.2156	50.5787	51.9337	53.2782	54.61	55.9267	57.226	58.5057	59.7633	60.9968	62.2038	63.3823	64.53	65.645	66.7253	67.769	68.7741	69.7391	70.6622	71.5419	72.3768	73.1654	73.9065	74.599	75.2419	75.8343	76.3754	76.8645	77.3011	77.6848	78.0152	78.2922	78.5157	78.6858	78.8026	78.8664	78.8776	78.8367	78.7442	78.601	78.4077	78.1652	77.8746	77.5368	77.1529	76.7243	76.252	75.7375	75.1821	74.5873	73.9545	73.2851	72.5809	71.8433	71.0739	70.2743	69.4462	68.5913	67.7111	66.8073	65.8815	64.9354	63.9706	62.9886	61.9912	60.9798	59.956	58.9213	57.8771	56.825	55.7664	54.7025	53.6348	52.5645	51.493	50.4214	49.3508	48.2825	47.2175	46.1567	45.1013	44.0522	43.0102	41.9762	40.9509	39.9353	38.9298	37.9354	36.9524	35.9816	35.0235	34.0785	33.1471	32.2297	31.3268	30.4386	29.5654	28.7076	27.8653	27.0387	26.228	25.4334	24.6549	23.8927	23.1467	22.4171	21.7038	21.0067	20.326	19.6614	19.013	18.3805	17.764	17.1633	16.5781	16.0085	15.4541	14.9148	14.3905	13.8808	13.3856	12.9047	12.4379	11.9848	11.5453	11.1191	10.7059	10.3055	9.9177	9.54215	9.17861	8.82681	8.48649	8.15739	7.83924	7.53176	7.23471	6.94781	6.6708	6.40343	6.14542	5.89654	5.65653	5.42514	5.20212	4.98723	4.78023	4.58088	4.38896	4.20425	4.0265	3.85551	3.69107	3.53296	3.38097	3.23491	3.09458	2.95979	2.83035	2.70608	2.58679	2.47232	2.3625	2.25716	2.15615	2.05929	1.96646	1.87749	1.79224	1.71059	1.63238	1.5575	1.48581	1.41719	1.35153	1.28871	1.22862
3	4.06251	0.158749	1	1.19138	1.41338	1.66975	1.96454	2.30203	2.68676	3.12352	3.61727	4.17319	4.79655	5.49275	6.26723	7.12542	8.07271	9.11434	10.2554	11.5006	12.8545	14.3212	15.9042	17.6065	19.4307	21.3783	23.4504	25.6471	27.9678	30.4107	32.9733	35.6521	38.4426	41.3392	44.3354	47.4238	50.5958	53.8423	57.1529	60.5168	63.9223	67.3571	70.8085	74.263	77.7073	81.1274	84.5096	87.8399	91.1046	94.2902	97.3836	100.372	103.243	105.986	108.59	111.045	113.341	115.472	117.429	119.207	120.8	122.206	123.419	124.44	125.267	125.901	126.341	126.591	126.654	126.532	126.231	125.756	125.112	124.306	123.345	122.236	120.987	119.605	118.099	116.478	114.748	112.92	111.001	109	106.926	104.785	102.587	100.34	98.05	95.7253	93.3728	90.9992	88.611	86.2143	83.8149	81.4183	79.0295	76.6534	74.2944	71.9567	69.644	67.3598	65.1072	62.8893	60.7084	58.567	56.467	54.4102	52.3981	50.432	48.5131	46.6421	44.8198	43.0465	41.3227	39.6485	38.0239	36.4489	34.9231	33.4461	32.0177	30.6371	29.3038	28.017	26.7761	25.5801	24.4281	23.3193	22.2526	21.2271	20.2418	19.2955	18.3873	17.5161	16.6808	15.8803	15.1135	14.3795	13.677	13.0051	12.3626	11.7487	11.1622	10.6021	10.0675	9.55743	9.07092	8.60706	8.16496	7.74375	7.34257	6.9606	6.59704	6.25111	5.92207	5.60917	5.31172	5.02905	4.76048	4.50539	4.26316	4.03322	3.81499	3.60793	3.41152	3.22525	3.04864	2.88123	2.72258	2.57226	2.42987	2.29502	2.16733	2.04645	1.93203	1.82376	1.72133	1.62443	1.53278	1.44612	1.36419	1.28674	1.21354	1.14437	1.07902	1.01728	0.95897	0.903903	0.851907	0.802818	0.75648	0.712744	0.671471	0.632527	0.595784	0.561124	0.528432	0.4976	0.468526	0.441113	0.415269	0.390907	0.367944	0.346303	0.325909	0.306693	0.288588	0.271533	0.255467	0.240334	0.226083	0.212662	0.200024	0.188126	0.176924	0.166378	0.156452	0.147109	0.138315	0.13004	0.122254	0.114927	0.108033	0.101547	0.0954461	0.0897068	0.0843085	0.0792312	0.074456	0.0699653	0.0657425	0.0617717	0.0580382	0.0545279	0.0512278	0.0481254	0.0452091	0.0424677	0.039891	0.0374692	0.0351931	0.0330541	0.0310439
4	2.68837	0.0495516	1	1.10551	1.22099	1.34727	1.48523	1.63578	1.79994	1.97874	2.17331	2.38483	2.61457	2.86385	3.13408	3.42673	3.74338	4.08566	4.45531	4.85413	5.28402	5.74698	6.24508	6.78049	7.35547	7.97238	8.63365	9.34183	10.0995	10.9095	11.7745	12.6974	13.6813	14.7291	15.844	17.0292	18.2879	19.6235	21.0394	22.539	24.1256	25.8029	27.5744	29.4435	31.4137	33.4886	35.6716	37.9661	40.3755	42.9031	45.552	48.3253	51.226	54.2568	57.4204	60.7191	64.1552	67.7306	71.4471	75.306	79.3084	83.4552	87.7467	92.1829	96.7635	101.488	106.354	111.361	116.506	121.787	127.201	132.742	138.408	144.193	150.092	156.098	162.206	168.406	174.693	181.057	187.489	193.98	200.52	207.097	213.702	220.322	226.946	233.561	240.155	246.714	253.226	259.677	266.054	272.342	278.53	284.602	290.545	296.347	301.994	307.473	312.773	317.88	322.784	327.474	331.938	336.168	340.154	343.887	347.361	350.568	353.502	356.158	358.531	360.618	362.416	363.924	365.139	366.063	366.696	367.039	367.095	366.866	366.357	365.572	364.516	363.195	361.616	359.784	357.709	355.397	352.857	350.098	347.128	343.956	340.593	337.048	333.331	329.451	325.419	321.244	316.936	312.507	307.964	303.318	298.579	293.756	288.858	283.895	278.874	273.806	268.697	263.557	258.392	253.211	248.021	242.828	237.64	232.461	227.3	222.16	217.048	211.968	206.926	201.925	196.971	192.066	187.215	182.421	177.686	173.015	168.409	163.87	159.401	155.004	150.68	146.43	142.257	138.161	134.143	130.203	126.343	122.562	118.862	115.241	111.701	108.24	104.859	101.557	98.3346	95.1902	92.1236	89.134	86.2207	83.3829	80.6196	77.9299	75.3128	72.7672	70.2921	67.8864	65.5488	63.2782	61.0734	58.9332	56.8563	54.8415	52.8874	50.9929	49.1566	47.3772	45.6535	43.9842	42.3679	40.8035	39.2897	37.8251	36.4086	35.039	33.7149	32.4352	31.1987	30.0042	28.8506	27.7366	26.6613	25.6234	24.6219	23.6558	22.7239	21.8253	20.9589	20.1237	19.3189	18.5434	17.7963	17.0768	16.3839	15.7168	15.0746	14.4566	13.8619	13.2898	12.7394
5	3.22933	0.193845	1	1.13931	1.29246	1.46001	1.64249	1.8403	2.05377	2.2831	2.52838	2.78959	3.06655	3.35896	3.66638	3.9882	4.32371	4.67203	5.03216	5.40296	5.78318	6.17146	6.56632	6.96622	7.36953	7.77457	8.1796	8.58288	8.98263	9.37708	9.7645	10.1432	10.5114	10.8677	11.2104	11.5382	11.8496	12.1435	12.4188	12.6744	12.9095	13.1233	13.3153	13.4849	13.6318	13.7559	13.8569	13.9349	13.9901	14.0227	14.0331	14.0218	13.9892	13.9361	13.8632	13.7712	13.6609	13.5333	13.3892	13.2297	13.0556	12.8681	12.6681	12.4566	12.2347	12.0033	11.7635	11.5163	11.2626	11.0033	10.7394	10.4716	10.201	9.92817	9.65399	9.37914	9.10433	8.83019	8.55732	8.28628	8.01759	7.75173	7.48914	7.23022	6.97532	6.72478	6.47888	6.23788	6.002	5.77143	5.54633	5.32684	5.11306	4.90508	4.70295	4.50672	4.31639	4.13198	3.95346	3.78079	3.61394	3.45284	3.29741	3.14758	3.00326	2.86433	2.7307	2.60226	2.47888	2.36044	2.24682	2.13788	2.0335	1.93354	1.83786	1.74634	1.65884	1.57522	1.49536	1.41912	1.34637	1.27698	1.21083	1.14779	1.08774	1.03056	0.976145	0.924371	0.87513	0.828317	0.783827	0.74156	0.701418	0.663306	0.627134	0.592813	0.560259	0.52939	0.500126	0.472393	0.446116	0.421227	0.397658	0.375345	0.354226	0.334241	0.315334	0.297452	0.280542	0.264555	0.249444	0.235163	0.22167	0.208923	0.196885	0.185516	0.174783	0.164651	0.155088	0.146064	0.13755	0.129518	0.121943	0.114798	0.108061	0.10171	0.0957225	0.0900792	0.0847609	0.0797494	0.0750278	0.0705797	0.0663898	0.0624436	0.0587273	0.055228	0.0519332	0.0488315	0.0459117	0.0431635	0.040577	0.038143	0.0358526	0.0336977	0.0316703	0.0297631	0.0279691	0.0262818	0.0246948	0.0232024	0.0217991	0.0204795	0.0192389	0.0180725	0.016976	0.0159453	0.0149765	0.0140659	0.0132101	0.0124058	0.01165	0.0109398	0.0102725	0.00964555	0.0090565	0.00850311	0.00798325	0.00749491	0.0070362	0.00660534	0.00620066	0.00582059	0.00546365	0.00512843	0.00481365	0.00451805	0.00424049	0.00397987	0.00373517	0.00350542	0.00328971	0.00308721	0.0028971	0.00271863	0.0025511	0.00239383	0.00224621	0.00210765	0.0019776	0.00185553	0.00174096	0.00163344	0.00153252	0.00143782	0.00134894	0.00126553	0.00118726	0.00111381	0.00104489	0.000980221	0.000919537	0.000862596	0.00080917
6	4.27307	0.102803	1	1.20454	1.44678	1.73281	2.06959	2.46496	2.9278	3.46808	4.09698	4.82701	5.67205	6.64754	7.77054	9.05981	10.536	12.2216	14.1411	16.3213	18.7907	21.5805	24.7236	28.2554	32.2133	36.6368	41.5675	47.0484	53.1243	59.8413	67.2462	75.3865	84.3096	94.0621	104.69	116.236	128.741	142.242	156.772	172.355	189.013	206.755	225.584	245.491	266.457	288.448	311.419	335.31	360.045	385.535	411.675	438.346	465.414	492.734	520.148	547.488	574.581	601.248	627.305	652.572	676.872	700.032	721.891	742.298	761.118	778.229	793.531	806.941	818.396	827.855	835.295	840.715	844.13	845.576	845.103	842.775	838.669	832.875	825.489	816.615	806.362	794.841	782.167	768.455	753.817	738.364	722.206	705.446	688.184	670.515	652.528	634.308	615.933	597.474	579	560.57	542.239	524.059	506.073	488.322	470.84	453.658	436.804	420.299	404.163	388.413	373.059	358.114	343.584	329.475	315.79	302.529	289.694	277.281	265.288	253.711	242.543	231.779	221.411	211.432	201.834	192.608	183.744	175.234	167.068	159.235	151.727	144.533	137.643	131.048	124.737	118.7	112.929	107.413	102.144	97.1109	92.3061	87.7205	83.3455	79.1726	75.1939	71.4013	67.7872	64.3442	61.065	57.9426	54.9704	52.1418	49.4504	46.8903	44.4557	42.1408	39.9403	37.8489	35.8617	33.9739	32.1808	30.4781	28.8615	27.3268	25.8703	24.4882	23.177	21.9331	20.7534	19.6347	18.574	17.5686	16.6156	15.7125	14.8567	14.046	13.278	12.5507	11.8619	11.2097	10.5923	10.0079	9.4547	8.93122	8.43588	7.96724	7.52391	7.10457	6.70798	6.33294	5.97833	5.64306	5.32613	5.02656	4.74343	4.47587	4.22304	3.98417	3.7585	3.54533	3.34398	3.15383	2.97425	2.80469	2.64459	2.49345	2.35077	2.2161	2.08899	1.96904	1.85584	1.74903	1.64826	1.55319	1.4635	1.37891	1.29912	1.22387	1.15291	1.08599	1.0229	0.963411	0.90733	0.854464	0.804631	0.757661	0.713393	0.671674	0.63236	0.595315	0.56041	0.527523	0.496541	0.467354	0.43986	0.413963	0.389572	0.3666	0.344965	0.324592	0.305408	0.287344	0.270337	0.254324	0.239249	0.225058	0.211699
7	1.18976	0.0694858	1	1.01185	1.02319	1.034	1.04427	1.05398	1.06313	1.0717	1.07967	1.08705	1.09383	1.1	1.10554	1.11047	1.11477	1.11845	1.1215	1.12392	1.12571	1.12688	1.12743	1.12736	1.12668	1.12539	1.12351	1.12103	1.11797	1.11434	1.11014	1.1054	1.10012	1.0943	1.08798	1.08116	1.07385	1.06606	1.05783	1.04915	1.04005	1.03054	1.02064	1.01037	0.999735	0.988764	0.97747	0.965871	0.953985	0.941829	0.929421	0.916777	0.903916	0.890854	0.877609	0.864197	0.850636	0.836942	0.82313	0.809217	0.795219	0.781151	0.767027	0.752862	0.738671	0.724467	0.710263	0.696074	0.68191	0.667785	0.653711	0.639697	0.625755	0.611896	0.59813	0.584465	0.570911	0.557476	0.544169	0.530996	0.517966	0.505085	0.492359	0.479794	0.467395	0.455168	0.443117	0.431246	0.41956	0.408061	0.396753	0.385638	0.37472	0.363999	0.353477	0.343157	0.333038	0.323123	0.31341	0.303902	0.294597	0.285495	0.276596	0.267899	0.259403	0.251108	0.243011	0.235111	0.227407	0.219896	0.212578	0.205448	0.198507	0.19175	0.185176	0.178782	0.172565	0.166523	0.160653	0.154951	0.149416	0.144043	0.138831	0.133775	0.128873	0.124122	0.119519	0.115059	0.110741	0.106561	0.102516	0.0986025	0.0948176	0.0911581	0.087621	0.084203	0.0809012	0.0777125	0.0746339	0.0716624	0.0687951	0.0660291	0.0633615	0.0607896	0.0583104	0.0559214	0.0536198	0.0514029	0.0492683	0.0472134	0.0452356	0.0433326	0.0415019	0.0397413	0.0380485	0.0364212	0.0348572	0.0333545	0.0319109	0.0305245	0.0291933	0.0279153	0.0266888	0.0255118	0.0243827	0.0232996	0.022261	0.0212653	0.0203108	0.019396	0.0185195	0.0176799	0.0168756	0.0161055	0.0153681	0.0146623	0.0139867	0.0133403	0.0127219	0.0121304	0.0115647	0.0110238	0.0105066	0.0100124	0.00953997	0.00908861	0.0086574	0.00824552	0.00785216	0.00747657	0.00711798	0.0067757	0.00644902	0.0061373	0.00583989	0.00555618	0.00528558	0.00502752	0.00478147	0.00454689	0.0043233	0.0041102	0.00390713	0.00371365	0.00352933	0.00335376	0.00318656	0.00302734	0.00287575	0.00273144	0.00259408	0.00246335	0.00233895	0.00222059	0.00210799	0.00200089	0.00189902	0.00180214	0.00171003	0.00162246	0.00153921	0.00146009	0.00138489	0.00131343	0.00124554	0.00118104	0.00111976	0.00106157	0.0010063	0.000953817	0.000903986	0.000856677	0.000811769	0.000769144	0.000728691	0.000690302	0.000653877	0.000619319	0.000586535	0.000555438	0.000525944	0.000497973	0.000471449
8	3.60758	0.17084	1	1.16295	1.34685	1.55348	1.78463	2.04211	2.32771	2.64316	2.99017	3.37032	3.78511	4.2359	4.72387	5.25006	5.81527	6.42008	7.06482	7.74957	8.4741	9.23791	10.0402	10.8798	11.7553	12.665	13.6068	14.5782	15.5768	16.5995	17.6432	18.7045	19.7797	20.865	21.9565	23.05	24.1415	25.2266	26.3011	27.3608	28.4015	29.419	30.4094	31.3687	32.2932	33.1795	34.0242	34.8242	35.5768	36.2794	36.9298	37.526	38.0663	38.5494	38.9742	39.3401	39.6465	39.8933	40.0806	40.2089	40.2788	40.2912	40.2473	40.1484	39.9961	39.7921	39.5383	39.2367	38.8896	38.4991	38.0676	37.5976	37.0915	36.5518	35.9811	35.3818	34.7566	34.108	33.4383	32.7501	32.0456	31.3274	30.5974	29.8581	29.1113	28.3592	27.6037	26.8465	26.0894	25.334	24.5818	23.8342	23.0927	22.3583	21.6323	20.9156	20.2093	19.5142	18.831	18.1604	17.5031	16.8596	16.2302	15.6155	15.0158	14.4312	13.8619	13.3083	12.7702	12.2478	11.741	11.2498	10.7742	10.3139	9.86891	9.43899	9.02395	8.62355	8.23754	7.86566	7.50763	7.16316	6.83192	6.51362	6.20791	5.91447	5.63297	5.36307	5.10441	4.85666	4.61949	4.39254	4.17548	3.96797	3.76969	3.5803	3.39949	3.22693	3.06232	2.90536	2.75573	2.61317	2.47738	2.34808	2.22502	2.10792	1.99654	1.89064	1.78997	1.6943	1.60342	1.51711	1.43516	1.35739	1.28358	1.21356	1.14716	1.0842	1.02452	0.967961	0.914373	0.863612	0.815541	0.770026	0.726941	0.686165	0.647582	0.611082	0.576559	0.543913	0.513046	0.483869	0.456292	0.430234	0.405614	0.382357	0.360391	0.339649	0.320064	0.301576	0.284125	0.267656	0.252115	0.237453	0.223622	0.210576	0.198272	0.18667	0.175731	0.165418	0.155697	0.146535	0.137901	0.129765	0.122099	0.114877	0.108074	0.101667	0.0956318	0.0899489	0.0845977	0.0795595	0.0748163	0.0703513	0.0661486	0.062193	0.0584703	0.0549672	0.0516709	0.0485695	0.0456517	0.0429068	0.0403248	0.0378961	0.0356119	0.0334637	0.0314435	0.0295438	0.0277576	0.0260782	0.0244993	0.0230149	0.0216196	0.0203079	0.0190751	0.0179164	0.0168273	0.0158039	0.0148421	0.0139384	0.0130892	0.0122913	0.0115416	0.0108373	0.0101756	0.00955404	0.00897013	0.00842164	0.00790644	0.00742254	0.00696805	0.0065412	0.00614033
9	2.97891	0.0830554	1	1.12366	1.26044	1.41146	1.57789	1.76098	1.96204	2.18245	2.42364	2.68712	2.97445	3.28724	3.62717	3.99597	4.39541	4.82732	5.29354	5.79598	6.33654	6.91716	7.53979	8.20637	8.91886	9.67918	10.4892	11.3509	12.2659	13.2362	14.2633	15.3488	16.4943	17.7012	18.9708	20.3041	21.7021	23.1658	24.6957	26.2923	27.9559	29.6865	31.484	33.348	35.2778	37.2726	39.3311	41.4521	43.6339	45.8744	48.1715	50.5227	52.9252	55.3761	57.8719	60.4092	62.9841	65.5925	68.2303	70.8928	73.5753	76.2729	78.9806	81.6931	84.4049	87.1106	89.8046	92.4812	95.1346	97.7592	100.349	102.899	105.402	107.854	110.249	112.581	114.846	117.037	119.151	121.183	123.128	124.981	126.74	128.4	129.958	131.412	132.757	133.993	135.116	136.125	137.019	137.797	138.458	139.001	139.426	139.735	139.926	140.002	139.964	139.812	139.549	139.176	138.697	138.113	137.426	136.641	135.76	134.787	133.724	132.575	131.344	130.035	128.651	127.196	125.675	124.091	122.448	120.75	119.002	117.207	115.368	113.491	111.578	109.635	107.663	105.667	103.651	101.618	99.5705	97.5129	95.4479	93.3784	91.3075	89.238	87.1723	85.1132	83.063	81.024	78.9984	76.9882	74.9953	73.0215	71.0686	69.1381	67.2315	65.35	63.4949	61.6674	59.8684	58.0989	56.3597	54.6515	52.975	51.3306	49.719	48.1405	46.5953	45.0837	43.6059	42.1621	40.7521	39.3761	38.034	36.7255	35.4507	34.2092	33.0008	31.8252	30.6821	29.571	28.4917	27.4437	26.4266	25.4398	24.4829	23.5554	22.6567	21.7864	20.9438	20.1284	19.3397	18.577	17.8398	17.1274	16.4394	15.7751	15.1339	14.5153	13.9185	13.3432	12.7886	12.2542	11.7395	11.2438	10.7667	10.3075	9.86568	9.44078	9.03225	8.63956	8.26221	7.89971	7.55156	7.21728	6.89642	6.58851	6.29312	6.0098	5.73813	5.47771	5.22812	4.98897	4.75988	4.54049	4.33043	4.12936	3.93692	3.7528	3.57667	3.40823	3.24717	3.0932	2.94605	2.80544	2.67111	2.5428	2.42027	2.30329	2.19162	2.08504	1.98334	1.88633	1.79379	1.70553	1.62139	1.54117	1.46471	1.39185	1.32243	1.2563	1.19331	1.13333	1.07622
10	2.79992	0.0201505	1	1.11248	1.23711	1.37516	1.52801	1.69717	1.88431	2.09126	2.32001	2.57277	2.85194	3.16014	3.50027	3.87548	4.28921	4.74523	5.24765	5.80098	6.4101	7.08037	7.81761	8.62817	9.51898	10.4975	11.572	12.7513	14.0452	15.4639	17.019	18.7227	20.5884	22.6306	24.8647	27.3077	29.9778	32.8946	36.0791	39.5542	43.3442	47.4753	51.9756	56.875	62.2058	68.0021	74.3002	81.139	88.5593	96.6045	105.32	114.755	124.958	135.983	147.884	160.719	174.544	189.421	205.41	222.572	240.969	260.663	281.713	304.177	328.11	353.564	380.582	409.205	439.463	471.379	504.962	540.21	577.107	615.621	655.701	697.278	740.263	784.545	829.992	876.446	923.731	971.647	1019.97	1068.46	1116.87	1164.91	1212.31	1258.77	1304	1347.7	1389.59	1429.38	1466.82	1501.66	1533.68	1562.68	1588.48	1610.97	1630.03	1645.6	1657.64	1666.13	1671.12	1672.66	1670.83	1665.74	1657.52	1646.32	1632.31	1615.65	1596.53	1575.15	1551.7	1526.38	1499.38	1470.89	1441.1	1410.2	1378.35	1345.73	1312.48	1278.77	1244.72	1210.46	1176.12	1141.81	1107.61	1073.63	1039.94	1006.62	973.73	941.331	909.473	878.197	847.542	817.539	788.214	759.587	731.675	704.492	678.044	652.338	627.376	603.158	579.679	556.936	534.921	513.626	493.04	473.152	453.949	435.418	417.545	400.315	383.712	367.721	352.326	337.51	323.257	309.551	296.375	283.713	271.549	259.866	248.65	237.883	227.551	217.639	208.132	199.016	190.276	181.898	173.87	166.178	158.809	151.751	144.993	138.522	132.327	126.398	120.723	115.293	110.099	105.129	100.376	95.8297	91.4826	87.326	83.3522	79.5535	75.9226	72.4523	69.136	65.9672	62.9394	60.0468	57.2836	54.6441	52.1231	49.7154	47.4162	45.2207	43.1244	41.1229	39.2122	37.3883	35.6472	33.9855	32.3995	30.8859	29.4415	28.0633	26.7482	25.4935	24.2965	23.1545	22.0652	21.0261	20.035	19.0898	18.1883	17.3285	16.5087	15.727	14.9816	14.2708	13.5933	12.9473	12.3315	11.7444	11.1849	10.6515	10.1432	9.65866	9.19692	8.75689	8.33757	7.93801	7.55728	7.19453	6.84891	6.51963	6.20593
