Time,BusinessStructures
0,1005
1,1080
2,1165
3,1258
4,1362
5,1478
6,1606
7,1749
8,1908
9,2083
10,2278
11,2492
12,2729
13,2988
14,3272
15,3581
16,3916
17,4278
18,4665
19,5078
20,5514
21,5974
22,6453
23,6950
24,7463
25,7987
26,8521
27,9060
28,9603
29,10145
30,10686
31,11223
32,11753
33,12275
34,12787
35,13289
36,13780
37,14258
38,14723
39,15175
40,15614
41,16040
42,16451
43,16850
44,17234
45,17606
46,17965
47,18311
48,18645
49,18967
50,19277
51,19575
52,19863
53,20139
54,20405
55,20662
56,20908
57,21145
58,21372
59,21591
60,21802
61,22004
62,22199
63,22386
64,22565
65,22738
66,22904
67,23063
68,23216
69,23363
70,23505
71,23641
72,23771
73,23897
74,24018
75,24134
76,24245
77,24353
78,24456
79,24556
80,24651
81,24743
82,24832
83,24918
84,25000
85,25079
86,25156
87,25230
88,25301
89,25370
90,25436
91,25500
92,25562
93,25622
94,25680
95,25736
96,25790
97,25843
98,25893
99,25942
100,25990
