Simulation	R0	VF	T1 Infected	T2 Infected	T3 Infected	T4 Infected	T5 Infected	T6 Infected	T7 Infected	T8 Infected	T9 Infected	T10 Infected	T11 Infected	T12 Infected	T13 Infected	T14 Infected	T15 Infected	T16 Infected	T17 Infected	T18 Infected	T19 Infected	T20 Infected	T21 Infected	T22 Infected	T23 Infected	T24 Infected	T25 Infected	T26 Infected	T27 Infected	T28 Infected	T29 Infected	T30 Infected	T31 Infected	T32 Infected	T33 Infected	T34 Infected	T35 Infected	T36 Infected	T37 Infected	T38 Infected	T39 Infected	T40 Infected	T41 Infected	T42 Infected	T43 Infected	T44 Infected	T45 Infected	T46 Infected	T47 Infected	T48 Infected	T49 Infected	T50 Infected	T51 Infected	T52 Infected	T53 Infected	T54 Infected	T55 Infected	T56 Infected	T57 Infected	T58 Infected	T59 Infected	T60 Infected	T61 Infected	T62 Infected	T63 Infected	T64 Infected	T65 Infected	T66 Infected	T67 Infected	T68 Infected	T69 Infected	T70 Infected	T71 Infected	T72 Infected	T73 Infected	T74 Infected	T75 Infected	T76 Infected	T77 Infected	T78 Infected	T79 Infected	T80 Infected	T81 Infected	T82 Infected	T83 Infected	T84 Infected	T85 Infected	T86 Infected	T87 Infected	T88 Infected	T89 Infected	T90 Infected	T91 Infected	T92 Infected	T93 Infected	T94 Infected	T95 Infected	T96 Infected	T97 Infected	T98 Infected	T99 Infected	T100 Infected	T101 Infected	T102 Infected	T103 Infected	T104 Infected	T105 Infected	T106 Infected	T107 Infected	T108 Infected	T109 Infected	T110 Infected	T111 Infected	T112 Infected	T113 Infected	T114 Infected	T115 Infected	T116 Infected	T117 Infected	T118 Infected	T119 Infected	T120 Infected	T121 Infected	T122 Infected	T123 Infected	T124 Infected	T125 Infected	T126 Infected	T127 Infected	T128 Infected	T129 Infected	T130 Infected	T131 Infected	T132 Infected	T133 Infected	T134 Infected	T135 Infected	T136 Infected	T137 Infected	T138 Infected	T139 Infected	T140 Infected	T141 Infected	T142 Infected	T143 Infected	T144 Infected	T145 Infected	T146 Infected	T147 Infected	T148 Infected	T149 Infected	T150 Infected	T151 Infected	T152 Infected	T153 Infected	T154 Infected	T155 Infected	T156 Infected	T157 Infected	T158 Infected	T159 Infected	T160 Infected	T161 Infected
1	2.32204	0.013692	1	1.08261	1.17178	1.268	1.3718	1.48376	1.60448	1.73462	1.87489	2.02604	2.18887	2.36423	2.55306	2.75634	2.97512	3.21052	3.46376	3.7361	4.02893	4.34371	4.682	5.04547	5.4359	5.85518	6.30535	6.78854	7.30706	7.86334	8.46	9.09979	9.78565	10.5207	11.3083	12.152	13.0555	14.0228	15.0581	16.166	17.3511	18.6184	19.9734	21.4217	22.9692	24.6222	26.3874	28.2719	30.2829	32.4285	34.7167	37.1564	39.7565	42.5268	45.4772	48.6184	51.9613	55.5176	59.2994	63.3193	67.5905	72.1267	76.9422	82.0517	87.4707	93.2148	99.3006	105.745	112.565	119.778	127.403	135.458	143.962	152.933	162.39	172.353	182.841	193.871	205.463	217.635	230.403	243.784	257.794	272.446	287.754	303.729	320.38	337.713	355.734	374.443	393.841	413.922	434.677	456.095	478.16	500.851	524.142	548.003	572.399	597.289	622.627	648.361	674.436	700.789	727.353	754.057	780.823	807.57	834.215	860.669	886.841	912.64	937.969	962.736	986.845	1010.2	1032.72	1054.3	1074.87	1094.33	1112.63	1129.67	1145.41	1159.79	1172.74	1184.25	1194.26	1202.75	1209.71	1215.12	1218.99	1221.33	1222.14	1221.46	1219.3	1215.7	1210.72	1204.38	1196.75	1187.87	1177.82	1166.64	1154.41	1141.18	1127.03	1112.02	1096.23	1079.71	1062.55	1044.79	1026.51	1007.77	988.634	969.157	949.398	929.41	909.247	888.958	868.588	848.183	827.784	807.429	787.154
2	2.25472	0.180745	1	1.07841	1.15952	1.24313	1.32899	1.41682	1.50633	1.59722	1.68916	1.78181	1.8748	1.96779	2.06039	2.15225	2.243	2.33225	2.41966	2.50487	2.58755	2.66736	2.744	2.81718	2.88662	2.95208	3.01333	3.07018	3.12244	3.16997	3.21265	3.25038	3.28309	3.31074	3.3333	3.35078	3.36322	3.37066	3.37318	3.37087	3.36385	3.35224	3.33618	3.31585	3.2914	3.26303	3.23092	3.19528	3.1563	3.11421	3.06921	3.02153	2.97137	2.91896	2.8645	2.80823	2.75033	2.69102	2.63049	2.56895	2.50657	2.44354	2.38003	2.3162	2.25222	2.18822	2.12436	2.06076	1.99754	1.93483	1.87272	1.81132	1.75071	1.69099	1.63221	1.57446	1.51778	1.46223	1.40786	1.3547	1.3028	1.25217	1.20284	1.15482	1.10813	1.06277	1.01876	0.976079	0.934733	0.894713	0.856008	0.818605	0.782489	0.74764	0.714041	0.681667	0.650498	0.620506	0.591668	0.563955	0.537341	0.511797	0.487295	0.463804	0.441296	0.41974	0.399109	0.37937	0.360497	0.342458	0.325226	0.308771	0.293065	0.278082	0.263793	0.250172	0.237193	0.22483	0.213059	0.201855	0.191196	0.181057	0.171417	0.162255	0.153549	0.145279	0.137427	0.129973	0.122899	0.116187	0.109821	0.103785	0.0980632	0.0926404	0.0875023	0.0826353	0.0780262	0.0736623	0.0695315	0.0656223	0.0619236	0.0584247	0.0551156	0.0519867	0.0490286	0.0462327	0.0435905	0.041094	0.0387356	0.0365082	0.0344046	0.0324185	0.0305436	0.0287738	0.0271037	0.0255278	0.0240409	0.0226384	0.0213156	0.0200681	0.0188918	0.0177828	0.0167373
3	3.29575	0.419194	1	1.14346	1.29516	1.45374	1.61763	1.78515	1.95446	2.12371	2.29101	2.45451	2.61245	2.76318	2.90518	3.03712	3.15785	3.26645	3.36218	3.44452	3.51315	3.56796	3.609	3.6365	3.65083	3.65249	3.64208	3.6203	3.58791	3.54573	3.49461	3.4354	3.36899	3.29623	3.21797	3.13502	3.04817	2.95816	2.86569	2.77142	2.67594	2.57982	2.48355	2.38759	2.29235	2.1982	2.10544	2.01435	1.92517	1.8381	1.7533	1.67091	1.59103	1.51375	1.43911	1.36716	1.29791	1.23136	1.1675	1.1063	1.04772	0.991722	0.938245	0.88723	0.83861	0.792316	0.748275	0.706411	0.666646	0.628903	0.593103	0.559167	0.527018	0.496579	0.467775	0.440532	0.414777	0.390439	0.367452	0.345748	0.325264	0.305938	0.287711	0.270526	0.254328	0.239064	0.224686	0.211145	0.198395	0.186393	0.175098	0.164469	0.15447	0.145066	0.136221	0.127905	0.120087	0.112738	0.105831	0.0993406	0.093242	0.0875124	0.08213	0.0770743	0.0723261	0.067867	0.0636798	0.0597483	0.0560571	0.0525918	0.0493389	0.0462855	0.0434195	0.0407297	0.0382054	0.0358364	0.0336135	0.0315276	0.0295704	0.027734	0.0260111	0.0243947	0.0228783	0.0214558	0.0201213	0.0188696	0.0176954	0.016594	0.015561	0.014592	0.0136832	0.0128309	0.0120315	0.0112818	0.0105787	0.00991931	0.00930094	0.00872104	0.00817723	0.00766726	0.00718904	0.00674061	0.0063201	0.00592578	0.00555604	0.00520933	0.00488424	0.0045794	0.00429357	0.00402557	0.00377427	0.00353865	0.00331772	0.00311058	0.00291635	0.00273425	0.00256351	0.00240342	0.00225332	0.0021126	0.00198065	0.00185694	0.00174096
4	2.25121	0.560027	1	1.07819	1.15187	1.22003	1.28183	1.3366	1.38387	1.42333	1.45484	1.47842	1.49424	1.50257	1.50378	1.49833	1.48672	1.4695	1.44724	1.42052	1.38991	1.35598	1.31925	1.28025	1.23945	1.1973	1.15418	1.11048	1.06652	1.02259	0.978942	0.935798	0.893349	0.851753	0.811143	0.771628	0.733293	0.696204	0.66041	0.625944	0.592825	0.56106	0.530647	0.501574	0.473823	0.44737	0.422185	0.398234	0.375481	0.353887	0.333411	0.314012	0.295646	0.278272	0.261846	0.246326	0.23167	0.217837	0.204788	0.192483	0.180885	0.169958	0.159666	0.149975	0.140853	0.13227	0.124195	0.116601	0.10946	0.102747	0.0964366	0.0905068	0.0849352	0.079701	0.0747845	0.070167	0.0658309	0.0617595	0.0579371	0.0543488	0.0509806	0.0478192	0.0448523	0.042068	0.0394553	0.0370038	0.0347036	0.0325456	0.0305211	0.0286219	0.0268403	0.0251691	0.0236016	0.0221313	0.0207524	0.019459	0.018246	0.0171084	0.0160416	0.0150411	0.0141029	0.0132231	0.0123981	0.0116244	0.010899	0.0102187	0.00958085	0.00898276	0.00842195	0.00789612	0.00740308	0.0069408	0.00650736	0.00610096	0.00571992	0.00536267	0.00502771	0.00471365	0.00441921	0.00414314	0.00388432	0.00364165	0.00341414	0.00320084	0.00300085	0.00281336	0.00263758	0.00247277	0.00231827	0.00217341	0.0020376	0.00191028	0.00179091	0.001679	0.00157408	0.00147571	0.00138349	0.00129704	0.00121598	0.00113999	0.00106875	0.00100196	0.000939344	0.00088064	0.000825604	0.000774008	0.000725636	0.000680286	0.000637771	0.000597913	0.000560545	0.000525513	0.00049267	0.000461879	0.000433013	0.00040595	0.000380579	0.000356794	0.000334495	0.00031359	0.000293991	0.000275617	0.000258391
5	2.66256	0.603297	1	1.10389	1.20473	1.30079	1.39056	1.47272	1.54623	1.6103	1.6644	1.70825	1.74181	1.76523	1.77886	1.78316	1.77874	1.76628	1.74651	1.7202	1.68814	1.65108	1.60979	1.56497	1.51732	1.46744	1.41593	1.36329	1.31001	1.2565	1.20312	1.15019	1.09799	1.04673	0.996623	0.947812	0.900425	0.854559	0.810283	0.767648	0.726684	0.687405	0.649812	0.613891	0.579622	0.546974	0.51591	0.486388	0.458362	0.431782	0.406597	0.382753	0.360195	0.338871	0.318724	0.299702	0.281752	0.264821	0.24886	0.233818	0.21965	0.206309	0.19375	0.181932	0.170815	0.160359	0.150527	0.141285	0.132598	0.124435	0.116766	0.109562	0.102796	0.0964418	0.0904755	0.0848739	0.0796154	0.0746794	0.0700466	0.0656988	0.0616186	0.0577901	0.0541978	0.0508275	0.0476655	0.0446992	0.0419166	0.0393064	0.0368581	0.0345617	0.0324078	0.0303878	0.0284932	0.0267165	0.0250502	0.0234877	0.0220223	0.0206483	0.0193597	0.0181515	0.0170185	0.0159562	0.01496	0.014026	0.0131502	0.0123291	0.0115591	0.0108372	0.0101604	0.00952579	0.00893079	0.00837293	0.00784989	0.0073595	0.00689974	0.00646868	0.00606454	0.00568564	0.0053304	0.00499735	0.0046851	0.00439236	0.0041179	0.00386059	0.00361935	0.00339318	0.00318115	0.00298236	0.00279599	0.00262126	0.00245745	0.00230388	0.0021599	0.00202492	0.00189838	0.00177974	0.00166851	0.00156424	0.00146648	0.00137483	0.00128891	0.00120836	0.00113284	0.00106204	0.000995664	0.000933437	0.0008751	0.000820408	0.000769134	0.000721064	0.000675999	0.00063375	0.000594142	0.000557008	0.000522196	0.000489559	0.000458962	0.000430278	0.000403386	0.000378174	0.000354539	0.00033238	0.000311607
6	3.44463	0.263388	1	1.15277	1.3207	1.50403	1.70284	1.917	2.1462	2.38992	2.64745	2.91786	3.20005	3.49273	3.79443	4.10355	4.41836	4.73701	5.05758	5.37811	5.69659	6.01102	6.31943	6.61989	6.91055	7.18966	7.45557	7.70679	7.94195	8.15983	8.35941	8.53981	8.70033	8.84045	8.95982	9.05826	9.13573	9.19236	9.22843	9.24434	9.24061	9.21788	9.17687	9.1184	9.04335	8.95266	8.84733	8.72837	8.59683	8.45377	8.30026	8.13735	7.96609	7.78751	7.60259	7.41232	7.21762	7.01938	6.81846	6.61564	6.41169	6.20732	6.00317	5.79986	5.59795	5.39794	5.20031	5.00546	4.81378	4.62558	4.44117	4.26079	4.08466	3.91296	3.74583	3.58339	3.42573	3.27292	3.12499	2.98197	2.84384	2.71059	2.58219	2.45858	2.33971	2.22549	2.11584	2.01067	1.90988	1.81336	1.72101	1.6327	1.54832	1.46775	1.39087	1.31755	1.24767	1.18111	1.11774	1.05745	1.00011	0.945606	0.893824	0.84465	0.797973	0.753685	0.711682	0.67186	0.634122	0.598371	0.564516	0.532465	0.502134	0.47344	0.446301	0.420642	0.396389	0.373471	0.35182	0.331372	0.312065	0.293839	0.276638	0.260408	0.245097	0.230657	0.21704	0.204202	0.192101	0.180697	0.169951	0.159827	0.150291	0.141309	0.132852	0.124889	0.117393	0.110338	0.103697	0.0974487	0.0915695	0.0860384	0.0808354	0.0759417	0.0713394	0.0670115	0.0629421	0.0591162	0.0555195	0.0521386	0.0489608	0.0459742	0.0431675	0.0405301	0.038052	0.0357236	0.0335362	0.0314814	0.0295512	0.0277381	0.0260353	0.024436	0.0229341
7	2.64919	0.632359	1	1.10306	1.2023	1.29597	1.38256	1.4608	1.52971	1.5886	1.63707	1.67499	1.70243	1.71971	1.72728	1.72575	1.71581	1.69824	1.67382	1.64339	1.60775	1.56769	1.52397	1.47731	1.42834	1.37769	1.32588	1.27342	1.22072	1.16816	1.11607	1.06473	1.01435	0.965144	0.917256	0.87081	0.825898	0.78259	0.74093	0.700945	0.662645	0.626026	0.591072	0.557758	0.526052	0.495913	0.467296	0.440153	0.414434	0.390084	0.367049	0.345275	0.324705	0.305286	0.286963	0.269683	0.253396	0.23805	0.223596	0.209989	0.197183	0.185134	0.173801	0.163144	0.153125	0.143708	0.134859	0.126545	0.118735	0.1114	0.104511	0.0980434	0.0919709	0.0862705	0.0809198	0.0758979	0.0711851	0.0667626	0.0626129	0.0587194	0.0550666	0.0516397	0.048425	0.0454095	0.0425809	0.0399278	0.0374394	0.0351056	0.0329168	0.0308641	0.028939	0.0271337	0.0254408	0.0238533	0.0223647	0.0209688	0.0196599	0.0184325	0.0172817	0.0162027	0.0151909	0.0142423	0.0133528	0.0125188	0.0117369	0.0110038	0.0103164	0.00967199	0.00906777	0.00850128	0.00797016	0.00747221	0.00700535	0.00656765	0.00615729	0.00577256	0.00541186	0.00507369	0.00475665	0.00445942	0.00418075	0.0039195	0.00367456	0.00344494	0.00322965	0.00302782	0.0028386	0.00266121	0.0024949	0.00233898	0.00219281	0.00205576	0.00192729	0.00180684	0.00169392	0.00158805	0.0014888	0.00139576	0.00130853	0.00122675	0.00115008	0.0010782	0.00101081	0.00094764	0.000888414	0.000832889	0.000780835	0.000732034	0.000686282	0.00064339	0.000603179	0.000565481	0.000530139	0.000497005	0.000465943	0.000436822	0.000409521	0.000383926	0.000359931	0.000337435	0.000316346	0.000296574	0.000278038
8	2.93218	0.149328	1	1.12074	1.25223	1.39493	1.54929	1.71572	1.89458	2.08618	2.29078	2.50855	2.73963	2.98408	3.24186	3.51288	3.79694	4.09377	4.40302	4.72424	5.0569	5.40038	5.75398	6.11691	6.48832	6.86726	7.25274	7.64368	8.03897	8.43744	8.83787	9.23902	9.6396	10.0383	10.4339	10.825	11.2104	11.5888	11.9588	12.3194	12.6693	13.0074	13.3325	13.6438	13.9401	14.2207	14.4847	14.7314	14.9601	15.1702	15.3613	15.533	15.6849	15.8167	15.9285	16.02	16.0913	16.1426	16.1738	16.1854	16.1776	16.1508	16.1053	16.0418	15.9607	15.8627	15.7482	15.6182	15.4731	15.3138	15.1409	14.9553	14.7578	14.5491	14.33	14.1014	13.864	13.6186	13.3659	13.1069	12.8422	12.5726	12.2988	12.0214	11.7413	11.459	11.1751	10.8904	10.6052	10.3203	10.0361	9.75312	9.4718	9.19258	8.91588	8.64207	8.37149	8.10447	7.8413	7.58224	7.32754	7.07742	6.83205	6.59162	6.35627	6.12612	5.90128	5.68183	5.46785	5.25937	5.05644	4.85906	4.66726	4.48101	4.30029	4.12507	3.95531	3.79096	3.63194	3.4782	3.32965	3.18621	3.04779	2.9143	2.78563	2.66169	2.54237	2.42755	2.31713	2.211	2.10904	2.01113	1.91716	1.82702	1.74059	1.65775	1.57839	1.5024	1.42966	1.36007	1.29352	1.22989	1.16909	1.11101	1.05555	1.00261	0.952088	0.903901	0.857951	0.81415	0.772412	0.732651	0.694786	0.658737	0.624428	0.591785	0.560735	0.531209	0.503141	0.476464	0.451118	0.427041	0.404177
9	2.43344	0.37842	1	1.08957	1.17933	1.2684	1.35591	1.44102	1.52293	1.60089	1.67424	1.74236	1.80474	1.86096	1.91068	1.95366	1.98975	2.01888	2.04106	2.05639	2.06502	2.06717	2.0631	2.05313	2.0376	2.01689	1.9914	1.96152	1.92769	1.89031	1.8498	1.80656	1.76099	1.71346	1.66433	1.61395	1.56263	1.51067	1.45834	1.40591	1.3536	1.30161	1.25013	1.19934	1.14936	1.10034	1.05237	1.00555	0.959962	0.915658	0.872691	0.831096	0.790901	0.75212	0.714762	0.678826	0.644303	0.611182	0.579442	0.549061	0.520012	0.492263	0.465782	0.440534	0.416481	0.393587	0.37181	0.351112	0.331453	0.312793	0.295091	0.278309	0.262407	0.247347	0.233092	0.219604	0.206849	0.194791	0.183398	0.172636	0.162475	0.152883	0.143833	0.135296	0.127245	0.119656	0.112503	0.105763	0.0994142	0.0934347	0.0878045	0.0825042	0.0775155	0.072821	0.0684042	0.0642492	0.0603413	0.0566663	0.0532109	0.0499623	0.0469086	0.0440385	0.0413413	0.0388068	0.0364255	0.0341884	0.0320869	0.0301131	0.0282592	0.0265182	0.0248834	0.0233483	0.0219071	0.020554	0.0192838	0.0180914	0.0169722	0.0159217	0.0149358	0.0140105	0.0131422	0.0123274	0.0115628	0.0108453	0.0101722	0.0095406	0.00894805	0.00839213	0.00787061	0.00738136	0.00692241	0.00649189	0.00608804	0.00570924	0.00535393	0.00502066	0.00470808	0.00441491	0.00413995	0.00388206	0.0036402	0.00341338	0.00320066	0.00300117	0.00281409	0.00263865	0.00247412	0.00231984	0.00217516	0.00203949	0.00191228	0.00179298	0.00168112	0.00157623	0.00147787	0.00138565	0.00129917	0.00121809	0.00114206	0.00107077	0.00100393	0.000941253	0.000882489
10	2.28921	0.170805	1	1.08056	1.16431	1.25107	1.34063	1.43275	1.5272	1.62367	1.72188	1.82151	1.92221	2.02364	2.12543	2.22722	2.32863	2.42927	2.52878	2.62676	2.72285	2.81669	2.90792	2.9962	3.08121	3.16265	3.24021	3.31365	3.38271	3.44718	3.50687	3.56159	3.61122	3.65563	3.69473	3.72847	3.75679	3.7797	3.79719	3.80931	3.81611	3.81768	3.8141	3.8055	3.79201	3.77379	3.75099	3.72379	3.69239	3.65699	3.61777	3.57498	3.52881	3.47949	3.42725	3.3723	3.31489	3.25523	3.19354	3.13005	3.06496	2.99849	2.93085	2.86222	2.79281	2.7228	2.65237	2.58167	2.51089	2.44016	2.36963	2.29943	2.2297	2.16055	2.09209	2.02442	1.95763	1.89182	1.82704	1.76338	1.7009	1.63965	1.57967	1.52101	1.46371	1.40779	1.35327	1.30018	1.24852	1.19831	1.14955	1.10223	1.05637	1.01193	0.968929	0.927338	0.887144	0.848329	0.810873	0.774753	0.739944	0.706422	0.674159	0.643127	0.613297	0.58464	0.557124	0.53072	0.505396	0.481121	0.457864	0.435592	0.414274	0.39388	0.374378	0.355738	0.337929	0.320923	0.304688	0.289198	0.274422	0.260335	0.246909	0.234118	0.221936	0.210338	0.199301	0.188799	0.178812	0.169316	0.160291	0.151715	0.143569	0.135833	0.128489	0.121519	0.114906	0.108633	0.102684	0.0970433	0.0916972	0.086631	0.0818314	0.0772853	0.0729802	0.0689044	0.0650465	0.0613955	0.057941	0.0546732	0.0515826	0.0486602	0.0458972	0.0432855	0.0408173	0.038485	0.0362816	0.0342002	0.0322346	0.0303784	0.0286259	0.0269716	0.0254102
